kind,concept_id,style,from,to,occurrences
document,document.doc_business_savings_accounts_bronze_saver_account_001,literal,doc_business_savings_accounts_bronze_saver_account_001,doc_business_savings_accounts_slate_saver_account_001,3
document,document.doc_business_savings_accounts_bronze_saver_account_002,literal,doc_business_savings_accounts_bronze_saver_account_002,doc_business_savings_accounts_slate_saver_account_002,1
document,document.doc_business_savings_accounts_bronze_saver_account_003,literal,doc_business_savings_accounts_bronze_saver_account_003,doc_business_savings_accounts_slate_saver_account_003,1
document,document.doc_business_savings_accounts_bronze_saver_account_004,literal,doc_business_savings_accounts_bronze_saver_account_004,doc_business_savings_accounts_slate_saver_account_004,1
document,document.doc_business_savings_accounts_bronze_saver_account_005,literal,doc_business_savings_accounts_bronze_saver_account_005,doc_business_savings_accounts_slate_saver_account_005,1
document,document.doc_business_savings_accounts_bronze_saver_account_006,literal,doc_business_savings_accounts_bronze_saver_account_006,doc_business_savings_accounts_slate_saver_account_006,1
document,document.doc_business_savings_accounts_bronze_saver_account_007,literal,doc_business_savings_accounts_bronze_saver_account_007,doc_business_savings_accounts_slate_saver_account_007,1
document,document.doc_business_savings_accounts_bronze_saver_account_008,literal,doc_business_savings_accounts_bronze_saver_account_008,doc_business_savings_accounts_slate_saver_account_008,1
document,document.doc_business_savings_accounts_diamond_vault_001,literal,doc_business_savings_accounts_diamond_vault_001,doc_business_savings_accounts_beryl_vault_001,3
document,document.doc_business_savings_accounts_diamond_vault_002,literal,doc_business_savings_accounts_diamond_vault_002,doc_business_savings_accounts_beryl_vault_002,1
document,document.doc_business_savings_accounts_diamond_vault_003,literal,doc_business_savings_accounts_diamond_vault_003,doc_business_savings_accounts_beryl_vault_003,1
document,document.doc_business_savings_accounts_diamond_vault_004,literal,doc_business_savings_accounts_diamond_vault_004,doc_business_savings_accounts_beryl_vault_004,1
document,document.doc_business_savings_accounts_diamond_vault_005,literal,doc_business_savings_accounts_diamond_vault_005,doc_business_savings_accounts_beryl_vault_005,1
document,document.doc_business_savings_accounts_diamond_vault_006,literal,doc_business_savings_accounts_diamond_vault_006,doc_business_savings_accounts_beryl_vault_006,1
document,document.doc_business_savings_accounts_diamond_vault_007,literal,doc_business_savings_accounts_diamond_vault_007,doc_business_savings_accounts_beryl_vault_007,1
document,document.doc_business_savings_accounts_diamond_vault_008,literal,doc_business_savings_accounts_diamond_vault_008,doc_business_savings_accounts_beryl_vault_008,1
document,document.doc_business_savings_accounts_emerald_saver_001,literal,doc_business_savings_accounts_emerald_saver_001,doc_business_savings_accounts_quartz_saver_001,3
document,document.doc_business_savings_accounts_emerald_saver_002,literal,doc_business_savings_accounts_emerald_saver_002,doc_business_savings_accounts_quartz_saver_002,1
document,document.doc_business_savings_accounts_emerald_saver_003,literal,doc_business_savings_accounts_emerald_saver_003,doc_business_savings_accounts_quartz_saver_003,1
document,document.doc_business_savings_accounts_emerald_saver_004,literal,doc_business_savings_accounts_emerald_saver_004,doc_business_savings_accounts_quartz_saver_004,1
document,document.doc_business_savings_accounts_emerald_saver_005,literal,doc_business_savings_accounts_emerald_saver_005,doc_business_savings_accounts_quartz_saver_005,1
document,document.doc_business_savings_accounts_emerald_saver_006,literal,doc_business_savings_accounts_emerald_saver_006,doc_business_savings_accounts_quartz_saver_006,1
document,document.doc_business_savings_accounts_emerald_saver_007,literal,doc_business_savings_accounts_emerald_saver_007,doc_business_savings_accounts_quartz_saver_007,1
document,document.doc_business_savings_accounts_emerald_saver_008,literal,doc_business_savings_accounts_emerald_saver_008,doc_business_savings_accounts_quartz_saver_008,1
document,document.doc_business_savings_accounts_gold_plus_saver_001,literal,doc_business_savings_accounts_gold_plus_saver_001,doc_business_savings_accounts_zircon_plus_saver_001,3
document,document.doc_business_savings_accounts_gold_plus_saver_002,literal,doc_business_savings_accounts_gold_plus_saver_002,doc_business_savings_accounts_zircon_plus_saver_002,1
document,document.doc_business_savings_accounts_gold_plus_saver_003,literal,doc_business_savings_accounts_gold_plus_saver_003,doc_business_savings_accounts_zircon_plus_saver_003,1
document,document.doc_business_savings_accounts_gold_plus_saver_004,literal,doc_business_savings_accounts_gold_plus_saver_004,doc_business_savings_accounts_zircon_plus_saver_004,1
document,document.doc_business_savings_accounts_gold_plus_saver_005,literal,doc_business_savings_accounts_gold_plus_saver_005,doc_business_savings_accounts_zircon_plus_saver_005,1
document,document.doc_business_savings_accounts_gold_plus_saver_006,literal,doc_business_savings_accounts_gold_plus_saver_006,doc_business_savings_accounts_zircon_plus_saver_006,3
document,document.doc_business_savings_accounts_gold_plus_saver_007,literal,doc_business_savings_accounts_gold_plus_saver_007,doc_business_savings_accounts_zircon_plus_saver_007,1
document,document.doc_business_savings_accounts_gold_saver_account_001,literal,doc_business_savings_accounts_gold_saver_account_001,doc_business_savings_accounts_zircon_saver_account_001,3
document,document.doc_business_savings_accounts_gold_saver_account_002,literal,doc_business_savings_accounts_gold_saver_account_002,doc_business_savings_accounts_zircon_saver_account_002,1
document,document.doc_business_savings_accounts_gold_saver_account_003,literal,doc_business_savings_accounts_gold_saver_account_003,doc_business_savings_accounts_zircon_saver_account_003,1
document,document.doc_business_savings_accounts_gold_saver_account_004,literal,doc_business_savings_accounts_gold_saver_account_004,doc_business_savings_accounts_zircon_saver_account_004,1
document,document.doc_business_savings_accounts_gold_saver_account_005,literal,doc_business_savings_accounts_gold_saver_account_005,doc_business_savings_accounts_zircon_saver_account_005,1
document,document.doc_business_savings_accounts_gold_saver_account_006,literal,doc_business_savings_accounts_gold_saver_account_006,doc_business_savings_accounts_zircon_saver_account_006,3
document,document.doc_business_savings_accounts_gold_saver_account_007,literal,doc_business_savings_accounts_gold_saver_account_007,doc_business_savings_accounts_zircon_saver_account_007,1
document,document.doc_business_savings_accounts_gold_saver_account_008,literal,doc_business_savings_accounts_gold_saver_account_008,doc_business_savings_accounts_zircon_saver_account_008,1
document,document.doc_business_savings_accounts_gold_saver_account_009,literal,doc_business_savings_accounts_gold_saver_account_009,doc_business_savings_accounts_zircon_saver_account_009,1
document,document.doc_business_savings_accounts_platinum_reserve_account_001,literal,doc_business_savings_accounts_platinum_reserve_account_001,doc_business_savings_accounts_basalt_reserve_account_001,3
document,document.doc_business_savings_accounts_platinum_reserve_account_002,literal,doc_business_savings_accounts_platinum_reserve_account_002,doc_business_savings_accounts_basalt_reserve_account_002,1
document,document.doc_business_savings_accounts_platinum_reserve_account_003,literal,doc_business_savings_accounts_platinum_reserve_account_003,doc_business_savings_accounts_basalt_reserve_account_003,1
document,document.doc_business_savings_accounts_platinum_reserve_account_004,literal,doc_business_savings_accounts_platinum_reserve_account_004,doc_business_savings_accounts_basalt_reserve_account_004,1
document,document.doc_business_savings_accounts_platinum_reserve_account_005,literal,doc_business_savings_accounts_platinum_reserve_account_005,doc_business_savings_accounts_basalt_reserve_account_005,1
document,document.doc_business_savings_accounts_platinum_reserve_account_006,literal,doc_business_savings_accounts_platinum_reserve_account_006,doc_business_savings_accounts_basalt_reserve_account_006,1
document,document.doc_business_savings_accounts_platinum_reserve_account_007,literal,doc_business_savings_accounts_platinum_reserve_account_007,doc_business_savings_accounts_basalt_reserve_account_007,1
document,document.doc_business_savings_accounts_platinum_reserve_account_008,literal,doc_business_savings_accounts_platinum_reserve_account_008,doc_business_savings_accounts_basalt_reserve_account_008,1
document,document.doc_business_savings_accounts_platinum_reserve_account_009,literal,doc_business_savings_accounts_platinum_reserve_account_009,doc_business_savings_accounts_basalt_reserve_account_009,1
document,document.doc_business_savings_accounts_platinum_reserve_account_010,literal,doc_business_savings_accounts_platinum_reserve_account_010,doc_business_savings_accounts_basalt_reserve_account_010,1
document,document.doc_business_savings_accounts_silver_plus_saver_001,literal,doc_business_savings_accounts_silver_plus_saver_001,doc_business_savings_accounts_granite_plus_saver_001,5
document,document.doc_business_savings_accounts_silver_plus_saver_002,literal,doc_business_savings_accounts_silver_plus_saver_002,doc_business_savings_accounts_granite_plus_saver_002,2
document,document.doc_business_savings_accounts_silver_plus_saver_003,literal,doc_business_savings_accounts_silver_plus_saver_003,doc_business_savings_accounts_granite_plus_saver_003,2
document,document.doc_business_savings_accounts_silver_plus_saver_004,literal,doc_business_savings_accounts_silver_plus_saver_004,doc_business_savings_accounts_granite_plus_saver_004,1
document,document.doc_business_savings_accounts_silver_plus_saver_005,literal,doc_business_savings_accounts_silver_plus_saver_005,doc_business_savings_accounts_granite_plus_saver_005,1
document,document.doc_business_savings_accounts_silver_plus_saver_006,literal,doc_business_savings_accounts_silver_plus_saver_006,doc_business_savings_accounts_granite_plus_saver_006,4
document,document.doc_business_savings_accounts_silver_plus_saver_007,literal,doc_business_savings_accounts_silver_plus_saver_007,doc_business_savings_accounts_granite_plus_saver_007,1
document,document.doc_business_savings_accounts_silver_saver_account_001,literal,doc_business_savings_accounts_silver_saver_account_001,doc_business_savings_accounts_granite_saver_account_001,3
document,document.doc_business_savings_accounts_silver_saver_account_002,literal,doc_business_savings_accounts_silver_saver_account_002,doc_business_savings_accounts_granite_saver_account_002,1
document,document.doc_business_savings_accounts_silver_saver_account_003,literal,doc_business_savings_accounts_silver_saver_account_003,doc_business_savings_accounts_granite_saver_account_003,1
document,document.doc_business_savings_accounts_silver_saver_account_004,literal,doc_business_savings_accounts_silver_saver_account_004,doc_business_savings_accounts_granite_saver_account_004,1
document,document.doc_business_savings_accounts_silver_saver_account_005,literal,doc_business_savings_accounts_silver_saver_account_005,doc_business_savings_accounts_granite_saver_account_005,1
document,document.doc_business_savings_accounts_silver_saver_account_006,literal,doc_business_savings_accounts_silver_saver_account_006,doc_business_savings_accounts_granite_saver_account_006,1
document,document.doc_business_savings_accounts_silver_saver_account_007,literal,doc_business_savings_accounts_silver_saver_account_007,doc_business_savings_accounts_granite_saver_account_007,1
document,document.doc_business_savings_accounts_silver_saver_account_008,literal,doc_business_savings_accounts_silver_saver_account_008,doc_business_savings_accounts_granite_saver_account_008,1
document,document.doc_buy_now_pay_later_bnpl_bronze_001,literal,doc_buy_now_pay_later_bnpl_bronze_001,doc_buy_now_pay_later_bnpl_slate_001,1
document,document.doc_buy_now_pay_later_bnpl_bronze_002,literal,doc_buy_now_pay_later_bnpl_bronze_002,doc_buy_now_pay_later_bnpl_slate_002,1
document,document.doc_buy_now_pay_later_bnpl_bronze_003,literal,doc_buy_now_pay_later_bnpl_bronze_003,doc_buy_now_pay_later_bnpl_slate_003,1
document,document.doc_buy_now_pay_later_bnpl_bronze_004,literal,doc_buy_now_pay_later_bnpl_bronze_004,doc_buy_now_pay_later_bnpl_slate_004,1
document,document.doc_buy_now_pay_later_bnpl_bronze_005,literal,doc_buy_now_pay_later_bnpl_bronze_005,doc_buy_now_pay_later_bnpl_slate_005,1
document,document.doc_buy_now_pay_later_bnpl_bronze_006,literal,doc_buy_now_pay_later_bnpl_bronze_006,doc_buy_now_pay_later_bnpl_slate_006,1
document,document.doc_buy_now_pay_later_bnpl_bronze_007,literal,doc_buy_now_pay_later_bnpl_bronze_007,doc_buy_now_pay_later_bnpl_slate_007,1
document,document.doc_buy_now_pay_later_bnpl_bronze_008,literal,doc_buy_now_pay_later_bnpl_bronze_008,doc_buy_now_pay_later_bnpl_slate_008,1
document,document.doc_buy_now_pay_later_bnpl_diamond_001,literal,doc_buy_now_pay_later_bnpl_diamond_001,doc_buy_now_pay_later_bnpl_beryl_001,1
document,document.doc_buy_now_pay_later_bnpl_diamond_002,literal,doc_buy_now_pay_later_bnpl_diamond_002,doc_buy_now_pay_later_bnpl_beryl_002,1
document,document.doc_buy_now_pay_later_bnpl_diamond_003,literal,doc_buy_now_pay_later_bnpl_diamond_003,doc_buy_now_pay_later_bnpl_beryl_003,1
document,document.doc_buy_now_pay_later_bnpl_diamond_004,literal,doc_buy_now_pay_later_bnpl_diamond_004,doc_buy_now_pay_later_bnpl_beryl_004,1
document,document.doc_buy_now_pay_later_bnpl_diamond_005,literal,doc_buy_now_pay_later_bnpl_diamond_005,doc_buy_now_pay_later_bnpl_beryl_005,1
document,document.doc_buy_now_pay_later_bnpl_diamond_006,literal,doc_buy_now_pay_later_bnpl_diamond_006,doc_buy_now_pay_later_bnpl_beryl_006,1
document,document.doc_buy_now_pay_later_bnpl_diamond_007,literal,doc_buy_now_pay_later_bnpl_diamond_007,doc_buy_now_pay_later_bnpl_beryl_007,1
document,document.doc_buy_now_pay_later_bnpl_diamond_008,literal,doc_buy_now_pay_later_bnpl_diamond_008,doc_buy_now_pay_later_bnpl_beryl_008,1
document,document.doc_buy_now_pay_later_bnpl_gold_001,literal,doc_buy_now_pay_later_bnpl_gold_001,doc_buy_now_pay_later_bnpl_zircon_001,1
document,document.doc_buy_now_pay_later_bnpl_gold_002,literal,doc_buy_now_pay_later_bnpl_gold_002,doc_buy_now_pay_later_bnpl_zircon_002,1
document,document.doc_buy_now_pay_later_bnpl_gold_003,literal,doc_buy_now_pay_later_bnpl_gold_003,doc_buy_now_pay_later_bnpl_zircon_003,1
document,document.doc_buy_now_pay_later_bnpl_gold_004,literal,doc_buy_now_pay_later_bnpl_gold_004,doc_buy_now_pay_later_bnpl_zircon_004,1
document,document.doc_buy_now_pay_later_bnpl_gold_005,literal,doc_buy_now_pay_later_bnpl_gold_005,doc_buy_now_pay_later_bnpl_zircon_005,1
document,document.doc_buy_now_pay_later_bnpl_gold_006,literal,doc_buy_now_pay_later_bnpl_gold_006,doc_buy_now_pay_later_bnpl_zircon_006,1
document,document.doc_buy_now_pay_later_bnpl_gold_007,literal,doc_buy_now_pay_later_bnpl_gold_007,doc_buy_now_pay_later_bnpl_zircon_007,1
document,document.doc_buy_now_pay_later_bnpl_gold_008,literal,doc_buy_now_pay_later_bnpl_gold_008,doc_buy_now_pay_later_bnpl_zircon_008,1
document,document.doc_buy_now_pay_later_bnpl_platinum_001,literal,doc_buy_now_pay_later_bnpl_platinum_001,doc_buy_now_pay_later_bnpl_basalt_001,1
document,document.doc_buy_now_pay_later_bnpl_platinum_002,literal,doc_buy_now_pay_later_bnpl_platinum_002,doc_buy_now_pay_later_bnpl_basalt_002,1
document,document.doc_buy_now_pay_later_bnpl_platinum_003,literal,doc_buy_now_pay_later_bnpl_platinum_003,doc_buy_now_pay_later_bnpl_basalt_003,1
document,document.doc_buy_now_pay_later_bnpl_platinum_004,literal,doc_buy_now_pay_later_bnpl_platinum_004,doc_buy_now_pay_later_bnpl_basalt_004,1
document,document.doc_buy_now_pay_later_bnpl_platinum_005,literal,doc_buy_now_pay_later_bnpl_platinum_005,doc_buy_now_pay_later_bnpl_basalt_005,1
document,document.doc_buy_now_pay_later_bnpl_platinum_006,literal,doc_buy_now_pay_later_bnpl_platinum_006,doc_buy_now_pay_later_bnpl_basalt_006,1
document,document.doc_buy_now_pay_later_bnpl_platinum_007,literal,doc_buy_now_pay_later_bnpl_platinum_007,doc_buy_now_pay_later_bnpl_basalt_007,1
document,document.doc_buy_now_pay_later_bnpl_platinum_008,literal,doc_buy_now_pay_later_bnpl_platinum_008,doc_buy_now_pay_later_bnpl_basalt_008,1
document,document.doc_buy_now_pay_later_bnpl_silver_001,literal,doc_buy_now_pay_later_bnpl_silver_001,doc_buy_now_pay_later_bnpl_granite_001,1
document,document.doc_buy_now_pay_later_bnpl_silver_002,literal,doc_buy_now_pay_later_bnpl_silver_002,doc_buy_now_pay_later_bnpl_granite_002,1
document,document.doc_buy_now_pay_later_bnpl_silver_003,literal,doc_buy_now_pay_later_bnpl_silver_003,doc_buy_now_pay_later_bnpl_granite_003,1
document,document.doc_buy_now_pay_later_bnpl_silver_004,literal,doc_buy_now_pay_later_bnpl_silver_004,doc_buy_now_pay_later_bnpl_granite_004,1
document,document.doc_buy_now_pay_later_bnpl_silver_005,literal,doc_buy_now_pay_later_bnpl_silver_005,doc_buy_now_pay_later_bnpl_granite_005,1
document,document.doc_buy_now_pay_later_bnpl_silver_006,literal,doc_buy_now_pay_later_bnpl_silver_006,doc_buy_now_pay_later_bnpl_granite_006,1
document,document.doc_buy_now_pay_later_bnpl_silver_007,literal,doc_buy_now_pay_later_bnpl_silver_007,doc_buy_now_pay_later_bnpl_granite_007,1
document,document.doc_buy_now_pay_later_bnpl_silver_008,literal,doc_buy_now_pay_later_bnpl_silver_008,doc_buy_now_pay_later_bnpl_granite_008,1
document,document.doc_checking_accounts_blue_account_001,literal,doc_checking_accounts_blue_account_001,doc_checking_accounts_laurel_account_001,19
document,document.doc_checking_accounts_blue_account_002,literal,doc_checking_accounts_blue_account_002,doc_checking_accounts_laurel_account_002,1
document,document.doc_checking_accounts_blue_account_003,literal,doc_checking_accounts_blue_account_003,doc_checking_accounts_laurel_account_003,7
document,document.doc_checking_accounts_blue_account_004,literal,doc_checking_accounts_blue_account_004,doc_checking_accounts_laurel_account_004,1
document,document.doc_checking_accounts_blue_account_005,literal,doc_checking_accounts_blue_account_005,doc_checking_accounts_laurel_account_005,1
document,document.doc_checking_accounts_blue_account_006,literal,doc_checking_accounts_blue_account_006,doc_checking_accounts_laurel_account_006,1
document,document.doc_checking_accounts_blue_account_007,literal,doc_checking_accounts_blue_account_007,doc_checking_accounts_laurel_account_007,1
document,document.doc_checking_accounts_blue_account_008,literal,doc_checking_accounts_blue_account_008,doc_checking_accounts_laurel_account_008,1
document,document.doc_checking_accounts_blue_account_009,literal,doc_checking_accounts_blue_account_009,doc_checking_accounts_laurel_account_009,1
document,document.doc_checking_accounts_blue_account_010,literal,doc_checking_accounts_blue_account_010,doc_checking_accounts_laurel_account_010,3
document,document.doc_checking_accounts_blue_account_011,literal,doc_checking_accounts_blue_account_011,doc_checking_accounts_laurel_account_011,1
document,document.doc_checking_accounts_blue_account_012,literal,doc_checking_accounts_blue_account_012,doc_checking_accounts_laurel_account_012,9
document,document.doc_checking_accounts_bluest_account_001,literal,doc_checking_accounts_bluest_account_001,doc_checking_accounts_poplar_account_001,17
document,document.doc_checking_accounts_bluest_account_002,literal,doc_checking_accounts_bluest_account_002,doc_checking_accounts_poplar_account_002,1
document,document.doc_checking_accounts_bluest_account_003,literal,doc_checking_accounts_bluest_account_003,doc_checking_accounts_poplar_account_003,15
document,document.doc_checking_accounts_bluest_account_004,literal,doc_checking_accounts_bluest_account_004,doc_checking_accounts_poplar_account_004,1
document,document.doc_checking_accounts_bluest_account_005,literal,doc_checking_accounts_bluest_account_005,doc_checking_accounts_poplar_account_005,1
document,document.doc_checking_accounts_bluest_account_006,literal,doc_checking_accounts_bluest_account_006,doc_checking_accounts_poplar_account_006,1
document,document.doc_checking_accounts_bluest_account_007,literal,doc_checking_accounts_bluest_account_007,doc_checking_accounts_poplar_account_007,7
document,document.doc_checking_accounts_bluest_account_008,literal,doc_checking_accounts_bluest_account_008,doc_checking_accounts_poplar_account_008,1
document,document.doc_checking_accounts_bluest_account_009,literal,doc_checking_accounts_bluest_account_009,doc_checking_accounts_poplar_account_009,1
document,document.doc_checking_accounts_bluest_account_010,literal,doc_checking_accounts_bluest_account_010,doc_checking_accounts_poplar_account_010,7
document,document.doc_checking_accounts_dark_green_account_001,literal,doc_checking_accounts_dark_green_account_001,doc_checking_accounts_dark_alder_account_001,15
document,document.doc_checking_accounts_dark_green_account_002,literal,doc_checking_accounts_dark_green_account_002,doc_checking_accounts_dark_alder_account_002,7
document,document.doc_checking_accounts_dark_green_account_003,literal,doc_checking_accounts_dark_green_account_003,doc_checking_accounts_dark_alder_account_003,1
document,document.doc_checking_accounts_dark_green_account_004,literal,doc_checking_accounts_dark_green_account_004,doc_checking_accounts_dark_alder_account_004,3
document,document.doc_checking_accounts_dark_green_account_005,literal,doc_checking_accounts_dark_green_account_005,doc_checking_accounts_dark_alder_account_005,1
document,document.doc_checking_accounts_dark_green_account_006,literal,doc_checking_accounts_dark_green_account_006,doc_checking_accounts_dark_alder_account_006,1
document,document.doc_checking_accounts_dark_green_account_007,literal,doc_checking_accounts_dark_green_account_007,doc_checking_accounts_dark_alder_account_007,1
document,document.doc_checking_accounts_dark_green_account_008,literal,doc_checking_accounts_dark_green_account_008,doc_checking_accounts_dark_alder_account_008,1
document,document.doc_checking_accounts_dark_green_account_009,literal,doc_checking_accounts_dark_green_account_009,doc_checking_accounts_dark_alder_account_009,1
document,document.doc_checking_accounts_dark_green_account_010,literal,doc_checking_accounts_dark_green_account_010,doc_checking_accounts_dark_alder_account_010,7
document,document.doc_checking_accounts_evergreen_account_001,literal,doc_checking_accounts_evergreen_account_001,doc_checking_accounts_fennel_account_001,17
document,document.doc_checking_accounts_evergreen_account_002,literal,doc_checking_accounts_evergreen_account_002,doc_checking_accounts_fennel_account_002,3
document,document.doc_checking_accounts_evergreen_account_003,literal,doc_checking_accounts_evergreen_account_003,doc_checking_accounts_fennel_account_003,1
document,document.doc_checking_accounts_evergreen_account_004,literal,doc_checking_accounts_evergreen_account_004,doc_checking_accounts_fennel_account_004,1
document,document.doc_checking_accounts_evergreen_account_005,literal,doc_checking_accounts_evergreen_account_005,doc_checking_accounts_fennel_account_005,1
document,document.doc_checking_accounts_evergreen_account_006,literal,doc_checking_accounts_evergreen_account_006,doc_checking_accounts_fennel_account_006,1
document,document.doc_checking_accounts_evergreen_account_007,literal,doc_checking_accounts_evergreen_account_007,doc_checking_accounts_fennel_account_007,1
document,document.doc_checking_accounts_evergreen_account_008,literal,doc_checking_accounts_evergreen_account_008,doc_checking_accounts_fennel_account_008,7
document,document.doc_checking_accounts_gold_years_account_001,literal,doc_checking_accounts_gold_years_account_001,doc_checking_accounts_zircon_years_account_001,17
document,document.doc_checking_accounts_gold_years_account_002,literal,doc_checking_accounts_gold_years_account_002,doc_checking_accounts_zircon_years_account_002,1
document,document.doc_checking_accounts_gold_years_account_003,literal,doc_checking_accounts_gold_years_account_003,doc_checking_accounts_zircon_years_account_003,1
document,document.doc_checking_accounts_gold_years_account_004,literal,doc_checking_accounts_gold_years_account_004,doc_checking_accounts_zircon_years_account_004,1
document,document.doc_checking_accounts_gold_years_account_005,literal,doc_checking_accounts_gold_years_account_005,doc_checking_accounts_zircon_years_account_005,1
document,document.doc_checking_accounts_gold_years_account_006,literal,doc_checking_accounts_gold_years_account_006,doc_checking_accounts_zircon_years_account_006,1
document,document.doc_checking_accounts_gold_years_account_007,literal,doc_checking_accounts_gold_years_account_007,doc_checking_accounts_zircon_years_account_007,1
document,document.doc_checking_accounts_gold_years_account_008,literal,doc_checking_accounts_gold_years_account_008,doc_checking_accounts_zircon_years_account_008,1
document,document.doc_checking_accounts_gold_years_account_009,literal,doc_checking_accounts_gold_years_account_009,doc_checking_accounts_zircon_years_account_009,1
document,document.doc_checking_accounts_gold_years_account_010,literal,doc_checking_accounts_gold_years_account_010,doc_checking_accounts_zircon_years_account_010,7
document,document.doc_checking_accounts_green_account_(checking)_001,literal,doc_checking_accounts_green_account_(checking)_001,doc_checking_accounts_alder_account_(checking)_001,31
document,document.doc_checking_accounts_green_account_(checking)_002,literal,doc_checking_accounts_green_account_(checking)_002,doc_checking_accounts_alder_account_(checking)_002,1
document,document.doc_checking_accounts_green_account_(checking)_003,literal,doc_checking_accounts_green_account_(checking)_003,doc_checking_accounts_alder_account_(checking)_003,1
document,document.doc_checking_accounts_green_account_(checking)_004,literal,doc_checking_accounts_green_account_(checking)_004,doc_checking_accounts_alder_account_(checking)_004,1
document,document.doc_checking_accounts_green_account_(checking)_005,literal,doc_checking_accounts_green_account_(checking)_005,doc_checking_accounts_alder_account_(checking)_005,1
document,document.doc_checking_accounts_green_account_(checking)_006,literal,doc_checking_accounts_green_account_(checking)_006,doc_checking_accounts_alder_account_(checking)_006,1
document,document.doc_checking_accounts_green_account_(checking)_007,literal,doc_checking_accounts_green_account_(checking)_007,doc_checking_accounts_alder_account_(checking)_007,1
document,document.doc_checking_accounts_green_account_(checking)_008,literal,doc_checking_accounts_green_account_(checking)_008,doc_checking_accounts_alder_account_(checking)_008,1
document,document.doc_checking_accounts_green_account_(checking)_009,literal,doc_checking_accounts_green_account_(checking)_009,doc_checking_accounts_alder_account_(checking)_009,1
document,document.doc_checking_accounts_green_account_(checking)_010,literal,doc_checking_accounts_green_account_(checking)_010,doc_checking_accounts_alder_account_(checking)_010,3
document,document.doc_checking_accounts_green_account_(checking)_011,literal,doc_checking_accounts_green_account_(checking)_011,doc_checking_accounts_alder_account_(checking)_011,1
document,document.doc_checking_accounts_green_account_(checking)_012,literal,doc_checking_accounts_green_account_(checking)_012,doc_checking_accounts_alder_account_(checking)_012,9
document,document.doc_checking_accounts_green_fee-free_account_001,literal,doc_checking_accounts_green_fee-free_account_001,doc_checking_accounts_alder_fee_free_account_001,19
document,document.doc_checking_accounts_green_fee-free_account_002,literal,doc_checking_accounts_green_fee-free_account_002,doc_checking_accounts_alder_fee_free_account_002,1
document,document.doc_checking_accounts_green_fee-free_account_003,literal,doc_checking_accounts_green_fee-free_account_003,doc_checking_accounts_alder_fee_free_account_003,11
document,document.doc_checking_accounts_green_fee-free_account_004,literal,doc_checking_accounts_green_fee-free_account_004,doc_checking_accounts_alder_fee_free_account_004,1
document,document.doc_checking_accounts_green_fee-free_account_005,literal,doc_checking_accounts_green_fee-free_account_005,doc_checking_accounts_alder_fee_free_account_005,7
document,document.doc_checking_accounts_green_fee-free_account_006,literal,doc_checking_accounts_green_fee-free_account_006,doc_checking_accounts_alder_fee_free_account_006,1
document,document.doc_checking_accounts_green_fee-free_account_007,literal,doc_checking_accounts_green_fee-free_account_007,doc_checking_accounts_alder_fee_free_account_007,7
document,document.doc_checking_accounts_light_blue_account_001,literal,doc_checking_accounts_light_blue_account_001,doc_checking_accounts_light_laurel_account_001,17
document,document.doc_checking_accounts_light_blue_account_002,literal,doc_checking_accounts_light_blue_account_002,doc_checking_accounts_light_laurel_account_002,3
document,document.doc_checking_accounts_light_blue_account_003,literal,doc_checking_accounts_light_blue_account_003,doc_checking_accounts_light_laurel_account_003,1
document,document.doc_checking_accounts_light_blue_account_004,literal,doc_checking_accounts_light_blue_account_004,doc_checking_accounts_light_laurel_account_004,7
document,document.doc_checking_accounts_light_blue_account_005,literal,doc_checking_accounts_light_blue_account_005,doc_checking_accounts_light_laurel_account_005,1
document,document.doc_checking_accounts_light_blue_account_006,literal,doc_checking_accounts_light_blue_account_006,doc_checking_accounts_light_laurel_account_006,7
document,document.doc_checking_accounts_light_blue_account_007,literal,doc_checking_accounts_light_blue_account_007,doc_checking_accounts_light_laurel_account_007,7
document,document.doc_checking_accounts_light_green_account_001,literal,doc_checking_accounts_light_green_account_001,doc_checking_accounts_light_alder_account_001,17
document,document.doc_checking_accounts_light_green_account_002,literal,doc_checking_accounts_light_green_account_002,doc_checking_accounts_light_alder_account_002,5
document,document.doc_checking_accounts_light_green_account_003,literal,doc_checking_accounts_light_green_account_003,doc_checking_accounts_light_alder_account_003,1
document,document.doc_checking_accounts_light_green_account_004,literal,doc_checking_accounts_light_green_account_004,doc_checking_accounts_light_alder_account_004,1
document,document.doc_checking_accounts_light_green_account_005,literal,doc_checking_accounts_light_green_account_005,doc_checking_accounts_light_alder_account_005,3
document,document.doc_checking_accounts_light_green_account_006,literal,doc_checking_accounts_light_green_account_006,doc_checking_accounts_light_alder_account_006,1
document,document.doc_checking_accounts_light_green_account_007,literal,doc_checking_accounts_light_green_account_007,doc_checking_accounts_light_alder_account_007,1
document,document.doc_checking_accounts_light_green_account_008,literal,doc_checking_accounts_light_green_account_008,doc_checking_accounts_light_alder_account_008,1
document,document.doc_checking_accounts_light_green_account_009,literal,doc_checking_accounts_light_green_account_009,doc_checking_accounts_light_alder_account_009,1
document,document.doc_checking_accounts_light_green_account_010,literal,doc_checking_accounts_light_green_account_010,doc_checking_accounts_light_alder_account_010,1
document,document.doc_checking_accounts_light_green_account_011,literal,doc_checking_accounts_light_green_account_011,doc_checking_accounts_light_alder_account_011,1
